file,line,start,end,speaker,speaker_role,word_count,duration,text,year
12-1036,32,805.217,824.475,John_G_Roberts_Jr,scotus_justice,53,19.258,"Is there -- what is your understanding under Mississippi law, which you know a great deal more than I do, about any limits on a parens patriae action? Let's say there was one purchaser in Mississippi of LCDs, whatever, or two or three. Could you bring a parens patriae action on their behalf?",12
12-1036,34,825.443,827.177,John_G_Roberts_Jr,scotus_justice,6,1.734,"Well, I know but I'm trying--",12
12-1036,36,831.473,835.689,John_G_Roberts_Jr,scotus_justice,10,4.216,--Unlikely as a practical matter or as a legal matter?,12
12-1036,38,877.719,893.761,Anthony_M_Kennedy,scotus_justice,34,16.042,"Are there parens patriae actions where the State Attorney General brings the action in what is really a suit on behalf of private parties? And if so, do you call it private parens patriae?",12
12-1036,40,899.196,902.99,Anthony_M_Kennedy,scotus_justice,15,3.794,"In other words, parens patriae has to have -- you have to ask for restitution?",12
12-1036,42,934.274,942.505,John_G_Roberts_Jr,scotus_justice,19,8.231,Did the State interest that's being -- the State interest that is being asserted is damage to the consumers?,12
12-1036,44,956.303,960.857,John_G_Roberts_Jr,scotus_justice,10,4.554,"Because it harmed members of the population of Mississippi, right?",12
12-1036,46,980.582,981.489,Antonin_Scalia,scotus_justice,3,0.907,What are those?,12
12-1036,48,987.721,992.812,John_G_Roberts_Jr,scotus_justice,12,5.091,Damage to -- having less money is a damage to the consumer.,12
12-1036,50,1029.11,1059.74,John_G_Roberts_Jr,scotus_justice,94,30.63,"What prevents -- what prevents attorneys general from around the country sitting back and waiting until every -- as private class actions proceed, and as soon as one settles or the plaintiffs' class prevails, taking the same complaint, maybe even hiring the same lawyers, to go and say, well, now we are going to bring our parens patriae action. We know how the trial is going to work out or we know what the settlement is going to look like, and we are going to get the same amount of money for the State?",12
12-1036,52,1069.937,1071.155,John_G_Roberts_Jr,scotus_justice,11,1.218,"Well, that's got not nothing to do with it, does it?",12
12-1036,54,1072.562,1082.667,John_G_Roberts_Jr,scotus_justice,29,10.105,"I'm sure it's a serious matter when a plaintiff class recovers for, as in this case, an antitrust violation or whatever. What's the answer? I'm sorry, repeating my question.",12
12-1036,56,1093.911,1112.733,John_G_Roberts_Jr,scotus_justice,64,18.822,"So the answer is that there is nothing to prevent 50 attorneys general, 51, from saying, every time there is a successful class action as to which somebody in my State purchased one of the items, we are going to file a parens patriae action, the complaint is going to look an awful lot like the class action complaint, and we want our money?",12
12-1036,58,1127.01,1128.4,Anthony_M_Kennedy,scotus_justice,7,1.39,"Well, that means that it could happen?",12
12-1036,60,1136.773,1153.015,John_G_Roberts_Jr,scotus_justice,46,16.242,"I'm sorry, counsel, but you told me the State's own interest was in protecting its consumers, so it would be able to file this suit every time its consumers have been harmed as demonstrated either through settlement or suit. That's the State interest, protecting its consumers.",12
12-1036,62,1187.923,1204.714,Anthony_M_Kennedy,scotus_justice,65,16.791,"Well, as a matter of efficiency, take the Chief Justice's hypo, the hypothetical and back it up. The moment the class is certified, why can't the attorney general join it and say, now, our interest is a little different, but it's so much the same that we want to join it, and we want to join it as parens patriae. Would that prevent its removal?",12
12-1036,64,1275.067,1283.642,John_G_Roberts_Jr,scotus_justice,26,8.575,"But you can't provide any reason why they wouldn't do so, and presumably would start doing so with greater frequency if you prevail in this case.",12
12-1036,66,1284.267,1295.058,John_G_Roberts_Jr,scotus_justice,37,10.791,It doesn't have to be the same case. It can be the next case on the court's docket. The first case is In Re: LCD Litigation and the second case is State of Mississippi v. LCD Manufacturers.,12
12-1036,68,1342.321,1346.46,John_G_Roberts_Jr,scotus_justice,20,4.139,"And in every one of those cases, there had been private class litigation prior to the filing of parens patriae?",12
12-1036,70,1359.736,1362.83,Ruth_Bader_Ginsburg,scotus_justice,15,3.094,Except we know that's not true in this case because we already have a settled--,12
12-1036,72,1364.904,1381.911,Ruth_Bader_Ginsburg,scotus_justice,38,17.007,"--Is your -- is your view of what's called the mass action -- a mass action is you have to have a sizeable number of plaintiffs, each one with 75 -- at least $75,000 at stake. Is that--",12
12-1036,74,1382.665,1383.524,Ruth_Bader_Ginsburg,scotus_justice,8,0.859,--And so they would all be named plaintiffs.,12
12-1036,76,1391.819,1400.674,Ruth_Bader_Ginsburg,scotus_justice,21,8.855,"Are there many actions of that nature where there are hundreds of people each with a claim of 75,000 or more?",12
12-1036,78,1415.762,1433.801,Ruth_Bader_Ginsburg,scotus_justice,43,18.039,"Why would you bring such a claim in Federal courts in this mass action formula? I can see in Mississippi doesn't have class actions, but if you're in Federal court, why would you ever have a mass action instead of a class action?",12
12-1036,80,1451.544,1458.463,Elena_Kagan,scotus_justice,23,6.919,"Mr. Massey, if you are right about what mass action means in this statute, what is this exception about the general public doing?",12
12-1036,82,1525.075,1526.7,Stephen_G_Breyer,scotus_justice,15,1.625,Can you tell me when you come back where the money goes if you win?,12
12-1036,84,1563.373,1568.465,John_G_Roberts_Jr,scotus_justice,6,5.092,"Thank you, Mr. Massey. Mr. Curran?",12
12-1036,86,1683.706,1710.29,Sonia_Sotomayor,scotus_justice,59,26.584,"So how do you remand a case when it involves unnamed plaintiffs? Not a proposed class, because you -- if you have a proposed class, that could be persons, and you could identify those. But under your theory, what does a court do to figure out which of all of those unnamed people have claims above or below $75,000?",12
12-1036,88,1757.082,1764.626,Sonia_Sotomayor,scotus_justice,19,7.544,"You know, this language is very reminiscent in what's in Federal Rule of Civil Procedure 20, the joinder rule.",12
12-1036,90,1765.907,1778.5,Sonia_Sotomayor,scotus_justice,34,12.593,"And if I look at the joinder rule, it uses “ persons ” and “ plaintiffs ” essentially in the same way. It's talking about persons being proposed plaintiffs as opposed to unnamed people--",12
12-1036,92,1779.671,1782.562,Sonia_Sotomayor,scotus_justice,6,2.891,--or the proposed class in essence.,12
12-1036,94,1840.477,1845.348,Sonia_Sotomayor,scotus_justice,16,4.871,"It seems that that would be hard, to invoke that case when a statute commands differently.",12
12-1036,96,1846.926,1852.751,Sonia_Sotomayor,scotus_justice,16,5.825,"In that case, it's in the -- in the absence of statutory language that requires remand.",12
12-1036,98,1853.986,1863.998,Sonia_Sotomayor,scotus_justice,27,10.012,I -- I'm hard-pressed to think that we can be exercising supplemental jurisdiction in a case where Congress has expressly spoken and said you can't or shouldn't.,12
12-1036,100,1897.312,1936.922,Ruth_Bader_Ginsburg,scotus_justice,64,39.61,"In this particular case, the individual claims were settled in the class action, so if there -- if there are no individual claimants to be -- to be represented, why doesn't this end up being a claim where only the State of Mississippi has a stake, because the individuals that the State might have been representing have already been satisfied, so if this is--",12
12-1036,102,1975.797,1991.916,Stephen_G_Breyer,scotus_justice,51,16.119,"Why is that? I thought that in a -- maybe it's changed since I knew the law in this area. But I thought because of Illinois Brick the ultimate consumers couldn't recover, but there -- you have to be a direct purchaser rather than an indirect purchaser of the price-fixed good.",12
12-1036,104,1993.185,1994.572,Stephen_G_Breyer,scotus_justice,10,1.387,Yes. All right. So this is a State law case.,12
12-1036,106,2000.555,2003.662,Stephen_G_Breyer,scotus_justice,11,3.107,"I know your case is, but the one that settled previously?",12
12-1036,108,2007.402,2017.236,Stephen_G_Breyer,scotus_justice,25,9.834,All right. So you have a double dip claim. I guess my question procedurally is that here the State of Mississippi is the named plaintiff.,12
12-1036,110,2018.203,2067.948,Stephen_G_Breyer,scotus_justice,128,49.745,"And moreover, the State of Mississippi is suing in order to obtain money, is what we just heard, for its treasury. And third, the State of Mississippi is suing because of their belief that the defendants injured the economy of Mississippi and they injured it by hurting the pocketbooks of many individuals in Mississippi, the names of whom they don't even know. All right? Now, they say, look at -- read the statute. Read the cases which say if you are a nominal plaintiff, that's good enough as long as you are not suing as some kind of -- I forget the words -- quasi-sovereign, whatever it was, one way or the other. You know the cases better than I. But why isn't what they just said sufficient?",12
12-1036,112,2075.493,2078.274,Stephen_G_Breyer,scotus_justice,11,2.781,"I understand that, but why does that fall within this statute?",12
12-1036,114,2093.314,2095.986,Elena_Kagan,scotus_justice,13,2.672,"If you go on and read that a little bit further, Mr. Curran--",12
12-1036,116,2096.438,2104.997,Elena_Kagan,scotus_justice,29,8.559,"--it says ""claims of 100 or more persons that are proposed to tried jointly on the ground that the plaintiffs' claims involve common questions of law or fact. """,12
12-1036,118,2105.716,2127.769,Elena_Kagan,scotus_justice,63,22.053,"And here, of course, you know, there's no joinder, let alone any proposed -- you know, there's no -- there nothing that the Mississippi Attorney General has to go through to show that the plaintiffs' claims involve common questions of law or fact, right? They don't -- there's no showing of that kind that has to be made in a parens patriae case.",12
12-1036,120,2143.7,2144.622,Elena_Kagan,scotus_justice,4,0.922,"But again, this clearly--",12
12-1036,122,2146.606,2156.868,Elena_Kagan,scotus_justice,31,10.262,"--But they don't have to show -- and this is clearly referring to a kind of Rule 23 inquiry, which they don't have to go through to do a parens patriae.",12
12-1036,124,2169.581,2171.315,Elena_Kagan,scotus_justice,8,1.734,"Yes, but they do have to show that--",12
12-1036,126,2171.784,2171.94,Elena_Kagan,scotus_justice,3,0.156,--in a massive--,12
12-1036,128,2172.987,2173.456,Elena_Kagan,scotus_justice,2,0.469,--consolidation case--,12
12-1036,130,2174.641,2193.205,Elena_Kagan,scotus_justice,65,18.564,"--the judge is going to say: You have 100 claims; we want to see that those 100 claims have common questions of law or fact. But in a parens patriae case, the State never has to make that showing. It can just stand up and say: Here we are. We are the State. We're representing the interests of the State across State. Here's our claim.",12
12-1036,132,2235.11,2243.7,Antonin_Scalia,scotus_justice,31,8.59,"Yes, but the Attorney General says that that's not what's going to happen here. How do you square that with his statement that that money will not get to these people?",12
12-1036,134,2259.661,2263.675,Antonin_Scalia,scotus_justice,13,4.014,He says you can't -- he says you can't even identify those people.,12
12-1036,136,2312.688,2332.163,Stephen_G_Breyer,scotus_justice,47,19.475,"What about -- see, I can understand a complaint where they have taken 100 individuals or 102, and they list them as plaintiffs, and they don't call it a class action. And that would fall right within the meaning of mass action if the numbers are right.",12
12-1036,138,2332.772,2386.719,Stephen_G_Breyer,scotus_justice,155,53.947,"But if we take your approach and depart from that mechanical, but simple -- simply administered interpretation, what was worrying me, and perhaps you can help me with that, is that there are perhaps all kinds of State actions where one of the motivating reasons is behind the lawsuit is some person hurt our citizens. And so now we will get into the instantly interesting, but very difficult question of well, when you say hurt your citizens, do you mean hurt them by giving them rise to an independent cause of action for each of them, who we don't know who they are and we don't know if the statute of limitations has run to some, and we don't know if others have other disabilities; but, nonetheless, we're not certain this suit is entirely for that. It may be mixed up with other things. Do you see the problem once I start down your road?",12
12-1036,140,2387.157,2387.782,Stephen_G_Breyer,scotus_justice,7,0.625,I've departed from the clear and simple.,12
12-1036,142,2404.933,2421.097,Ruth_Bader_Ginsburg,scotus_justice,39,16.164,"--That seems to be -- that seems to be disputed, because I understood Mr. Massey to say that the restitution claim would go to the State. And you say that that -- the restitution couldn't go to the State.",12
12-1036,144,2423.611,2432.077,Stephen_G_Breyer,scotus_justice,38,8.466,"You can hold him to that, and I guess he can say, no, I don't want to be held to that or -- but that seemed to be not for this Court. Once he says it, I guess--",12
12-1036,146,2432.967,2436.528,Stephen_G_Breyer,scotus_justice,13,3.561,--But can we not take him at his word? He said it wasn't.,12
12-1036,148,2520.923,2556.534,Antonin_Scalia,scotus_justice,99,35.611,"What -- what do you do about this -- this language in the definition? I haven't heard you explain it. It -- it says -- it means any -- mass action means ""any civil action in which monetary relief claims of 100 or more persons are proposed to be tried jointly on the ground that the plaintiffs' claims involve common questions of law or fact. "" Now, they're not proposed to be tried jointly here on that ground. They're being tried jointly on the ground that the suit is being brought by the attorney general under this State statute.",12
12-1036,150,2563.759,2565.284,Antonin_Scalia,scotus_justice,4,1.525,"Yes, I understand that.",12
12-1036,152,2592.395,2614.167,Elena_Kagan,scotus_justice,68,21.772,"Well, Mr. Curran, really, do you -- are you saying that as a matter of State law, that in this suit the attorney general has to make a proposal that -- that the plaintiff -- that -- that he can bring the suit on the grounds that the plaintiffs' claims involve common questions of law or fact and that that proposal has to be adjudicated by the Court?",12
12-1036,154,2629.753,2653.431,Elena_Kagan,scotus_justice,75,23.678,"But he does not have to show any common questions of law or fact in the typical way that we demand. I mean, that's actually a very demanding showing that we have forced lawyers to make in the class action context. All that the attorney general has to do is to stand up and say, I have a State interest in protecting my citizens and in deterring improper behavior and here is my substantive right.",12
12-1036,156,2675.22,2702.241,Elena_Kagan,scotus_justice,91,27.021,"I guess I don't understand the bifurcation point. It seems to me that what the attorney general is saying is he has a set of claims. They're his claims on behalf of the -- the populace, but -- but to further State's own interests. And there -- there's none of this Rule 23 kind of business about common questions of law or fact. So it's not a question of, you know, one set of claims or another set of claims now or later. He has a claim. That's all he has.",12
12-1036,158,2723.513,2735.786,Anthony_M_Kennedy,scotus_justice,22,12.273,Suppose it's a given that we all concede that the complaint is both for private-named persons and for restitution. Both. What result?,12
12-1036,160,2746.645,2751.235,Anthony_M_Kennedy,scotus_justice,14,4.59,"No, the rest of my hypothetical, part of the restitution goes to the State.",12
12-1036,162,2756.406,2756.796,Anthony_M_Kennedy,scotus_justice,3,0.39,Where's the language?,12
12-1036,164,2766.011,2766.964,Anthony_M_Kennedy,scotus_justice,3,0.953,I have 79.,12
12-1036,166,2819.771,2860.782,Elena_Kagan,scotus_justice,115,41.011,"And this is the main provision where they're trying to define what mass action means. And I take your point that there are -- there's some slippage between this provision and the various provisions that it refers back to, because those provisions, we're talking about class actions and this one is talking about mass actions. But this is the essential definition. And this one seems to be pointing to a very different kind of suit, one in which there are 100 individual claims that -- that 100 people seek to have joined in which a court is going to make a determination about whether those 100 individual claims have questions of common law or fact.",12
12-1036,168,2878.339,2880.916,Sonia_Sotomayor,scotus_justice,7,2.577,But that would have required this Court--,12
12-1036,169,2880.916,2891.77,Elena_Kagan,scotus_justice,47,10.854,"That's essentially what it says. I mean, the only -- the only thing it doesn't say in what you just said is that it says persons instead of named plaintiffs. But then if you read the sentence, it's pretty clear that persons and plaintiffs are the same.",12
12-1036,171,2897.236,2900.454,Elena_Kagan,scotus_justice,6,3.218,I might not answer it. [Laughter],12
12-1036,173,2911.528,2922.024,Sonia_Sotomayor,scotus_justice,19,10.496,"--But doesn't your proposal mean that before someone can remove, they have to decide whether the class is certifiable?",12
12-1036,175,2922.431,2951.34,Sonia_Sotomayor,scotus_justice,68,28.909,"Because you're not going to decide whether these plaintiffs are actually going to be plaintiffs and part of this class until you decide the class question. If you use the word “ persons ” and you use the language of the statute, it's the class that's being proposed. It's the named plaintiffs and the class that's being proposed of persons that are being proposed to be tried together.",12
12-1036,177,3033.246,3042.822,Antonin_Scalia,scotus_justice,23,9.576,"Sometimes, Congress doesn't do it right, you know? [Laughter] Sometimes, they try to catch everything, but the language they use doesn't do it.",12
12-1036,179,3044.25,3045.023,Elena_Kagan,scotus_justice,4,0.773,But more than that--,12
12-1036,181,3047.053,3054.77,Elena_Kagan,scotus_justice,26,7.717,"--But more than that, Mr. Curran, is that there was actually a considered effort by the attorneys generals here to take themselves out of this statute--",12
12-1036,183,3055.317,3072.45,Elena_Kagan,scotus_justice,59,17.133,"--and that that -- well, you say they failed and, I mean, that's the statutory question. But it's not just Congress didn't do it right this time. It was that there was a very serious effort to get attorneys general out of this statute. And that's -- and, you know, it seems to me that they did pretty well.",12
12-1036,185,3139.617,3170.588,Ruth_Bader_Ginsburg,scotus_justice,48,30.971,"Maybe they didn't, but if you look at the committee report, what is the definition of mass action? And it is, under this new subsection D-11, ""expands jurisdiction over suits that are brought on behalf of numerous -- numerous -- named plaintiffs. "" “ Numerous named plaintiffs ”.",12
12-1036,187,3184.975,3188.691,Antonin_Scalia,scotus_justice,7,3.716,You mean it's contrived legislative history? [Laughter],12
12-1036,189,3367.886,3371.009,John_G_Roberts_Jr,scotus_justice,11,3.123,"Thank you, Mr. Curran. Mr. Massey, you have four minutes remaining.",12
12-1036,191,3448.946,3453.195,Antonin_Scalia,scotus_justice,10,4.249,Did not the Fifth Circuit decide that State law question?,12
12-1036,193,3508.328,3570.802,Stephen_G_Breyer,scotus_justice,178,62.474,"What he says is -- in the complaint, it says -- ""prays that the defendant be ordered to restitute any and all moneys for the purchases of its citizens. "" All right. Now, you look at the statute he quoted, the Mississippi statute, and it says there is the authority to have restitution to restore to any person in interest any moneys which may have been acquired by means of a practice prohibited. So he says that sounds as if what you're talking about is you want restitution, though, given to the State, the restitution is for individual purchases of individual citizens, because there could be no other. And, therefore, you have a list of people in mind, or you must find one, where there were particular individual purchases by individual citizens and get that restitution into the treasury. Now, that -- I think something like that was his argument, and I wanted to know what you were going to say. Are you going to give up these last five words, ""and the purchases of its citizens? """,12
12-1036,194,3570.802,3573.254,Antonin_Scalia,scotus_justice,11,2.452,And that's what I understood the Fifth Circuit to have held.,12
12-1036,196,3579.798,3580.329,Stephen_G_Breyer,scotus_justice,1,0.531,Right.,12
12-1036,198,3582.875,3584.297,Stephen_G_Breyer,scotus_justice,7,1.422,"Yes, and the purchases of its citizens.",12
12-1036,200,3585.266,3586.436,Stephen_G_Breyer,scotus_justice,6,1.17,I know they'll get the money--,12
12-1036,202,3587.155,3588.561,Stephen_G_Breyer,scotus_justice,13,1.406,"--but he's saying to get the money, you have to say which money.",12
12-1036,204,3590.747,3611.52,Stephen_G_Breyer,scotus_justice,62,20.773,"And to get the money, which money means you better have a list of the individual people who bought something, or otherwise, there is no such money, and that's enough to make those in respect to this paragraph, individual people whose claims the State of Mississippi is pursuing. Something like that is his argument. And I just wanted to know your response.",12
12-1036,206,3622.251,3638.077,Sonia_Sotomayor,scotus_justice,50,15.826,"But that has to go with the facts of this case. Don't go with the facts. Go with the -- with the -- the point, which is that you -- in -- in a normal case, aren't you, in fact, suing for the citizens? The named citizens. Or the citizens--",12
12-1036,208,3643.836,3645.742,John_G_Roberts_Jr,scotus_justice,8,1.906,"Thank you, counsel. Counsel. The case is submitted.",12
12-1038,0,0.0,6.468,John_G_Roberts_Jr,scotus_justice,14,6.468,"We'll hear argument this morning in Case 12-1038, United States v. Apel. Mr. Horwich.",12
12-1038,2,41.344,49.903,Ruth_Bader_Ginsburg,scotus_justice,21,8.559,"But it is -- it is in the Air Force manual and in a JAG opinion, was the exclusive possession criterion.",12
12-1038,4,86.014,98.212,Ruth_Bader_Ginsburg,scotus_justice,24,12.198,"Has -- since this case has been pending quite a while, has the manual changed, has -- to -- to delete the exclusive possession?",12
12-1038,6,171.45,178.666,Elena_Kagan,scotus_justice,20,7.216,"How do we tell that, Mr. Horwich? What's the test for determining when a place is subject to military command?",12
12-1038,8,210.607,238.69,Samuel_A_Alito_Jr,scotus_justice,75,28.083,"Well, some military installations are located in very rural areas. Now, suppose you have an installation in such a place and there are buildings and -- and facilities that you can see in one part of this territory, but there's a lot of open -- there are a lot of open fields around it. Would -- and suppose there's -- it's not posted. Would that still be a military installation if somebody goes on that?",12
12-1038,10,295.653,314.692,Elena_Kagan,scotus_justice,53,19.039,"But a map, presumably, reflects who owns the property, and you, yourself, say that that's not what's significant. And I took your point in your brief to suggest some kind of more functional test, is this property being used for military purposes? Am I -- am I wrong in ascribing that to you?",12
12-1038,12,338.464,422.197,Sonia_Sotomayor,scotus_justice,167,83.733,"But I'm not sure that I can -- that I follow that completely. When I look at the list of items mentioned in the statute -- reservation, post, fort, arsenal, yard, station, or installation -- I don't think of command separate from operational control or being run by and used by the military. Each of those terms has an operational quality to it that mere ownership, which I equate with command, doesn't. It makes no sense, in answer to Justice Alito's question, to say you need notice, unless that facility has a military flavor to it that someone could know about. And you talk about this particular camp, but you've got a whole green line around it to tell people which sections you are actually considering the camp, and he was found outside of that green area. You've got a public school, a public highway. I'm not quite sure how you can keep a person off of lands that the military is not using in its operations.",12
12-1038,14,449.077,454.95,Sonia_Sotomayor,scotus_justice,19,5.873,"Well, you close down -- you close down roads for parades. You close down areas for other public needs.",12
12-1038,16,483.993,491.444,Anthony_M_Kennedy,scotus_justice,24,7.451,"And that's confirmed in the terms of the easement, if you look at the easement between the U.S. and the County of Santa Barbara.",12
12-1038,18,492.991,500.659,Anthony_M_Kennedy,scotus_justice,20,7.668,The -- it makes it very clear that the military commander has authority to exercise control over the easement property.,12
12-1038,20,521.168,550.78,Ruth_Bader_Ginsburg,scotus_justice,71,29.612,"If -- if your position is right, and I -- I think there would be nothing left of Flowers, because Flowers, the government owned that area as well. Is there anything left -- I mean, that -- in this case, the -- the property is used as a public highway, and people go back and forth. In Flowers, it was a street. So are you urging that Flowers is essentially overruled?",12
12-1038,22,613.381,629.188,Samuel_A_Alito_Jr,scotus_justice,65,15.807,"Suppose that the Respondent in this case didn't want to protest. He just wanted to take a drive up to Santa Barbara or -- I don't know -- maybe it's -- I don't know -- if it's not illegal to walk in Southern California, maybe he wanted to walk along the Pacific Coast Highway. Would he -- would he commit a misdemeanor by doing that?",12
12-1038,24,658.051,662.674,Ruth_Bader_Ginsburg,scotus_justice,17,4.623,And where is this? Where is the exception? Is it -- was it in the bar order?,12
12-1038,26,688.173,695.967,Sonia_Sotomayor,scotus_justice,20,7.794,"He couldn't go to the public school, though? Or the stores or any other facilities that the public's invited to?",12
12-1038,28,707.104,726.471,Sonia_Sotomayor,scotus_justice,44,19.367,"It seems such an odd thing for a Class B misdemeanor to be used to protect the national security; that Congress has determined that the threat is so great, that the only thing you need is a Class B misdemeanor to protect the U.S.--",12
12-1038,30,734.639,735.796,Sonia_Sotomayor,scotus_justice,6,1.157,--There are some pretty severe ones.,12
12-1038,32,741.511,747.072,Antonin_Scalia,scotus_justice,15,5.561,Are there no sanctions for trespassing upon Federal property that is not a military base?,12
12-1038,34,757.661,804.58,Elena_Kagan,scotus_justice,128,46.919,"Do you think, Mr. Horwich, that there is any point at which a military installation can lose its character as such? I mean, I'll give you an example. Suppose -- you know, that in this -- in this base area, the government -- the military decided to allow four private condo buildings and six restaurants and three movie theaters, and it really just turned into a regular old town. And -- and it entered into agreements whereby all the policing was being done by local law enforcement officers, rather than by the military. Is there any point at which it just becomes too much not like a military base, where you lose the ability to do this, even though it's under the formal command of a military officer?",12
12-1038,36,821.122,833.085,Antonin_Scalia,scotus_justice,23,11.963,"I -- I assume it would be contrary to -- to his orders to permit such installations, without his ability to control them.",12
12-1038,38,834.412,837.927,Antonin_Scalia,scotus_justice,14,3.515,"Including by issuing debarment orders. He has no authority to do that, does he?",12
12-1038,40,866.62,872.448,Elena_Kagan,scotus_justice,21,5.828,"So what happens, for example, at -- at the school if there's an assault on school premises? Who deals with that?",12
12-1038,42,907.841,909.513,Elena_Kagan,scotus_justice,11,1.672,Federal -- I'm sorry. Is that military police or is that--,12
12-1038,44,911.668,918.058,Elena_Kagan,scotus_justice,29,6.39,"--I mean, who -- who comes in -- is it -- is it members of the military? Or is it members of the county police force? Or is it--",12
12-1038,46,974.504,984.532,Elena_Kagan,scotus_justice,33,10.028,"--Well, I guess I'm just wondering with respect to each of these places, I mean, the highway, the school, the Amtrak station, who's actually in control when something goes wrong in these places?",12
12-1038,48,1000.993,1002.572,Elena_Kagan,scotus_justice,4,1.579,The security forces meaning--,12
12-1038,50,1003.259,1003.788,Elena_Kagan,scotus_justice,2,0.529,--the military.,12
12-1038,52,1004.57,1008.365,Elena_Kagan,scotus_justice,9,3.795,So do military personnel actively patrol this entire area?,12
12-1038,54,1083.553,1088.036,Ruth_Bader_Ginsburg,scotus_justice,25,4.483,It could have said -- it could have said that Apel can't use the highway. That would -- that dispensation was a matter of grace?,12
12-1038,56,1091.02,1091.66,Ruth_Bader_Ginsburg,scotus_justice,5,0.64,Is that what you're saying?,12
12-1038,58,1111.702,1120.321,Anthony_M_Kennedy,scotus_justice,31,8.619,"I suppose, if the commander thought it was necessary, he could stop trucks with flammable materials from coming through at the time when a launch is being prepared and so forth?",12
12-1038,60,1179.58,1213.112,Samuel_A_Alito_Jr,scotus_justice,103,33.532,"Mr. Horwich, can I ask you this, which is -- this question is stimulated by what Justice Kagan asked. Is it -- my understanding is that, if you look at many military reservations, you may need a very detailed map to figure out -- and a crime is committed someplace on there or other Federal lands -- you may need a very detailed map to determine whether criminal jurisdiction over that particular offense is exclusively Federal or Federal and concurrent. Now -- and I would assume that that could be true of a military base that is completely sealed off to the public.",12
12-1038,62,1217.112,1226.561,Samuel_A_Alito_Jr,scotus_justice,28,9.449,"Now, do you understand that the -- the Ninth Circuit's holding to be based on access or to be based on jurisdiction over crimes that are committed there?",12
12-1038,64,1243.477,1245.554,Antonin_Scalia,scotus_justice,6,2.077,But that's not Respondent's theory here.,12
